endereco_original,endereco_modificado,tipo_erro,label
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA",ORIGINAL,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","R PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA",ABREVIACAO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA",SEM_TIPO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA",SEM_ACENTO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNABUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA",ERRO_DIGITACAO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 87, 47810710, BARREIRAS, BA",SEM_BAIRRO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 87, BARREIRINHAS, BARREIRAS, BA",SEM_CEP,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 85, BARREIRINHAS, 47810710, BARREIRAS, BA",NUMERO_ALTERADO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 86, BARREIRINHAS, 47810710, BARREIRAS, BA",NUMERO_ALTERADO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 88, BARREIRINHAS, 47810710, BARREIRAS, BA",NUMERO_ALTERADO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 89, BARREIRINHAS, 47810710, BARREIRAS, BA",NUMERO_ALTERADO,1
"RUA PERNAMBUCO, 87, BARREIRINHAS, 47810710, BARREIRAS, BA","RUA PERNAMBUCO, 97, BARREIRINHAS, 47810710, BARREIRAS, BA",NUMERO_ALTERADO,1
"RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ","RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ",ORIGINAL,1
"RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ","R SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ",ABREVIACAO,1
"RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ","SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ",SEM_TIPO,1
"RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ","RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ",SEM_ACENTO,1
"RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ","RUA SANTOSDUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ",ERRO_DIGITACAO,1
"RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ","RUA SANTOS DUMONT, S/N, 28010220, CAMPOS DOS GOYTACAZES, RJ",SEM_BAIRRO,1
"RUA SANTOS DUMONT, S/N, CENTRO, 28010220, CAMPOS DOS GOYTACAZES, RJ","RUA SANTOS DUMONT, S/N, CENTRO, CAMPOS DOS GOYTACAZES, RJ",SEM_CEP,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",ORIGINAL,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AV BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",ABREVIACAO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",SEM_TIPO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",SEM_ACENTO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARRIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",ERRO_DIGITACAO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 795, 47850000, LUIS EDUARDO MAGALHAES, BA",SEM_BAIRRO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, LUIS EDUARDO MAGALHAES, BA",SEM_CEP,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 793, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",NUMERO_ALTERADO,1
