"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
RUA,PERNAMBUCO,"87",      LOTEAMENTO MARIA PER      CILIA II,BARREIRINHAS,"47810710",BA,BARREIRAS
RUA,SANTOS DUMONT,S/N,,CENTRO,"28010220",RJ,CAMPOS DOS GOYTACAZES
AVENIDA,BARREIRAS,"795",LOJA  B,MIMOSO DO OESTE,"47850000",BA,LUIS EDUARDO MAGALHAES
AVENIDA,DOIS DE JULHO,"96",ANDAR 2                   LOJA  212 A,ERNESTO MELO,"44440900",BA,SANTO ANTONIO DE JESUS
RUA,DAS JANDAIAS,"54",TERREO,CENTRO,"45810000",BA,PORTO SEGURO
RUA,OSVALDO CRUZ,"130",TERREO,CENTRO,"45836000",BA,ITAMARAJU
RUA,JUVENAL DE SA,"111",,CAMPOS ELISEOS,"14085020",SP,RIBEIRAO PRETO
QUADRA,SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA,"02",,ASA SUL,"70255010",DF,BRASILIA
AVENIDA,JOSE FONSECA E SILVA,"395",LOJA  02,LUIZOTE DE FREITAS,"38414016",MG,UBERLANDIA
AVENIDA,DA PEDRA BRANCA,"184",ARMZ  PARTE CD. 04        SALA  ESTOQ,PEDRA BRANCA,"88137270",SC,PALHOCA
AVENIDA,DAS AMERICAS,"03443",      BLC 1 SAL 203,BARRA DA TIJUCA,"22631003",RJ,RIO DE JANEIRO
RODOVIA,BR 282,S/N,KM    375,DISTRITO INDUSTRIAL JOSE FRANCISCO BORDIN,"89613000",SC,ERVAL VELHO
RUA,LEA CABRAL DA CUNHA,"126",,CENTRO,"23815410",RJ,ITAGUAI
RODOVIA,IVO SILVEIRA  SC 108,"584",,STEFFEN - URBANO,"88355200",SC,BRUSQUE
AVENIDA,SAO PAULO,"170",SALA  202/203/204/205,CENTRO,"86010060",PR,LONDRINA
RUA,DAS ROLINHAS,"288",QUADRA36                  LOTE  11,ESPLANADA III,"79560000",MS,CHAPADAO DO SUL
RUA,JULIO DE CASTILHOS,"870",,CENTRO,"96810156",RS,SANTA CRUZ DO SUL
AVENIDA,DAS AMERICAS,"03500",      BLC 07 SAL 206,BARRA DA TIJUCA,"22640102",RJ,RIO DE JANEIRO
RUA,PER. NORTE WILSON BELTRAMIN,"2641",ANEXO AUTO POSTO 5 RODA II      1 ANDAR                   SALA 19,POLO INDUSTRIAL,"79150000",MS,MARACAJU
